Series Title,Type,Season,Year,"Sales Avg, Initial Release","Sales Avg, Re-releases","Sales Avg, Total","Revenue
(Initial Release)",Source Material,Animation Studio,Publisher,Distributor,万円
.hack//SIGN,TV,Spring,2002,"6,032",0,"6,032","¥362,220,000",game,Bee Train,Bandai Visual,Bandai Visual,"¥36,222"
.hack//Tasogare no Udewa Densetsu,TV,Winter,2003,"2,954",0,"2,954","¥102,810,000",game,Bee Train,Bandai Visual,Bandai Visual,"¥10,281"
.hack//Roots,TV,Spring,2006,"2,138",0,"2,138","¥113,000,000",game,Bee Train,Bandai Visual,Bandai Visual,"¥11,300"
009-1,TV,Fall,2006,"1,258",0,"1,258","¥46,390,000",manga,Ishimori Entertainment,Aniplex,Sony,"¥4,639"
07-Ghost,TV,Spring,2009,"2,529",0,"2,529","¥197,230,000",manga,Studio Deen,Avex,Avex,"¥19,723"
100-man no Inochi no Ue ni Ore wa Tatteiru [Seasons 1 and 2],TV,Fall,2020,0,0,0,¥0,manga,Maho Film,Warner Brothers,NBC Universal (Geneon),¥0
11eyes,TV,Fall,2009,656,0,656,"¥18,360,000",visual novel,Douga Koubou,Marvelous AQL,Pony Canyon,"¥1,836"
18if,TV,Summer,2017,0,0,0,¥0,game,Gonzo,Gonzo,Gonzo,¥0
2.43: Seiin Koukou Danshi Volley-bu,TV,Winter,2021,241,0,241,"¥7,220,000",novel,David Production,Aniplex,Sony,¥722
22/7,TV,Winter,2020,"3,021",0,"3,021","¥121,170,000",original,A1 Pictures,Aniplex,Sony,"¥12,117"
25-sai no Joshikousei,TV,Winter,2018,102,0,102,"¥590,000",manga,Lilix,Bell Plans,Bell Plans,¥59
3-gatsu no Lion,TV,Fall,2016,"2,490",0,"2,490","¥112,220,000",manga,Shaft,Aniplex,Sony,"¥11,222"
3-gatsu no Lion 2nd Season,TV,Fall,2017,"1,602",0,"1,602","¥70,810,000",manga,Shaft,Aniplex,Sony,"¥7,081"
30-sai no Hoken Taiiku,TV,Spring,2011,221,0,221,"¥1,280,000",novel,Gathering,Touhou,Touhou,¥128
3D Kanojo: Real Girl,TV,Spring,2018,92,0,92,"¥830,000",manga,Hoods Entertainment,VAP,VAP,¥83
