,0,1,2,3,4
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billiion Yen),Distributor
1,1,Nov.,HOWL'S MOVING CASTLE,20.00,Toho
2,2,May,"CRYING OUT LOVE, IN THE CENTER OF THE WORLD",8.50,Toho
3,3,Oct.,BE WITH YOU,4.80,Toho
4,4,July,POKEMON: DESTINY DEOXYS,4.38,Toho
5,5,March,DORAEMON : Nobita in the Wan-Nyan Space-time Odeyssey  (tentative English title)  P-MAN THE MOVIE : Tako DE Pon! Ashi HA Pon! (tentative English title),3.05,Toho
6,6,April,DETECTIVE CONAN: MAGICIAN OF THE SILVER SKY,2.80,Toho
7,7,March,QUILL,2.22,Shochiku
8,8,Sep.,SWING GIRLS,2.15,Toho
9,9,August,NINxNIN -THE NINJA STAR HATTORI-,1.93,Toho
10,10,Jan.,HALF A CONFESSION,1.90,Toei
11,11,March,ONE PIECE - THE MOVIE NOROWARETA SEIKEN,1.80,Toei
12,12,June,UMIZARU (FROGMEN),1.74,Toho
13,13,April,CASSHERN,1.53,Shochiku
14,14,Jan.,ONE MISSED CALL,1.50,Toho
15,15,August,NARUTO - DAIKATSUGEKI! YUKIHIME NINPO-CHO DATTEBAYO!!  NARUTO - KONOHANO SATO NO DAI-UNDOKAI,1.37,Toho
16,16,Dec.,GODZILLA: TOKYO SOS,1.30,Toho
17,17,April,CRAYON SHINCHAN ARASHI WO YOBU! YUUHI NO KASUKABE  BOYS,1.28,Toho
18,18,July,STEAMBOY,1.16,Toho
19,19,Jan.,MILK WHITE,1.09,Toho
20,20,March,INNOCENCE,1.00,Toho
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billiion Yen),Distributor
1,1,"Nov., '04",HOWL'S MOVING CASTLE,19.60,TOHO
2,2,July,PIKACHU THE MOVIE MEW TO HADOUNOYUHSA LUCARIO,4.30,TOHO
3,3,May,NEGOTIATOR,4.20,TOHO
4,4,Sep.,NANA,4.03,TOHO
5,5,August,THE SUSPECT,3.83,TOHO
6,6,June,TRAIN MAN,3.70,TOHO
7,7,Nov.,ALWAYS -SUNSET ON THIRD STREET-,3.23,TOHO
8,8,Jan.,YEAR ONE IN THE NORTH,2.70,TOEI
9,9,March,LORELEI,2.40,TOHO
10,10,July,SHINING BOY & LITTLE RANDY,2.30,TOHO
11,11,April,DETECTIVE CONAN STRATEGY ABOVE THE DEPTH,2.15,TOHO
12,12,July,AEGIS,2.06,SHOCHIKU  / KADOKAWA HERALD
13,13,August,THE GREAT YOKAI WAR,2.00,SHOCHIKU
14,14,June,SAMURAI COMMANDO MISSION 1549,1.71,TOHO
15,15,Jan.,TOKYO TOWER,1.63,TOHO
16,16,Sep.,SHINOBI,1.41,SHOCHIKU
17,17,Oct.,THE SAMURAI I LOVED,1.40,TOHO
18,18,April,CRAYON SHIN-CHAN  / DENSETSU WO YOBU BURI-BURI 3PUN POKKIRI DAISHINGEKI,1.30,TOHO
19,19,Oct.,SPRING SNOW,1.27,TOHO
20,20,"Dec., '04",GODZILLA: FINAL WARS,1.26,TOHO
21,21,July,FULLMETAL ALCHEMIST THE MOVIE CONQUEROR OF SHAMBALLA,1.22,SHOCHIKU
22,22,March,ONEPIECE THE MOVIE - BARON OMATSURI AND THE ISLAND OF SECRETS,1.20,TOEI
23,22,Sep.,TOUCH,1.20,TOHO
24,24,August,NARUTO  - DAIGEKITOTSU! MABOROSHINO CHITEIISEKI DATTEBAYO,1.18,TOHO
25,25,Sep.,MASKED RIDER HIBIKI AND SEVEN ONI  / MAGIC RANGERS THE MOVIE,1.10,TOEI
26,26,Feb.,ONE MISSED CALL 2,1.01,TOHO
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billiion Yen),Distributor
1,1,July,TALES FROM EARTHSEA,7.65,TOHO
2,2,May,Test of Trust UMIZARU 2,7.10,TOHO
3,3,Jan.,SUITE HOTEL,6.08,TOHO
4,4,July,JAPAN SINKING,5.34,TOHO
5,5,Nov.,DEATH NOTE the Last name,5.20,WB
6,6,"Dec., '05",YAMATO,5.09,TOEI
7,7,July,Pokémon Pokémon Ranger to umi no ouji MANAPHY,3.40,TOHO
8,8,March,DORAEMON AND THE LITTLE DINOSAUR,3.28,TOHO
9,9,Sep.,NADA SOU SOU - Tears for You,3.10,TOHO
10,10,April,DETECTIVE CONAN -The Private Eyes Requiem,3.03,TOHO
11,11,June,DEATH NOTE,2.85,WB
12,12,May,MEMORIES OF TOMORROW,2.20,TOEI
13,13,June,TRICK - The Movie 2 -,2.10,TOHO
14,14,Feb.,STAR REFORMERS,2.08,TOHO
15,15,July,BRAVE STORY,2.00,WB
16,16,"Dec., '05",STORMY NIGHT,1.88,TOHO
17,17,Oct.,SAYONARA GAME-Kisarazu Cats' Eye,1.80,ASMIK ACE
18,18,March,HELEN THE BABY FOX,1.78,SHOCHIKU
19,19,Sep.,HULA GIRLS,1.40,CINE QUA NON
20,20,April,CRAYON SHIN-CHAN Densetsu wo yobu Odore! Amigo!,1.38,TOHO
21,21,August,UDON,1.36,TOHO
22,22,May,MEMORIES OF MATSUKO,1.31,TOHO
23,23,Sep.,THE LAWS OF ETERNITY,1.25,TOEI
24,24,Jan.,THE PROFESSOR AND HIS BELOVED EQUATION,1.20,ASMIK ACE
25,24,June,THE ODE TO JOY,1.20,TOEI
26,24,Nov.,THE LETTER,1.20,GAGA
27,27,April,"CHECK IT OUT, YO !",1.08,TOHO
28,28,June,MIDNIGHT SUN,1.05,SHOCHIKU
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billiion Yen),Distributor
1,1,Sep.,HERO,8.15,TOHO
2,2,July,Pokémon:The Rise of Darkrai,5.02,TOHO
3,3,Nov.,ALWAYS -Sunset on Third Street- 2,4.56,TOHO
4,4,July,MONKEY MAGIC,4.37,TOHO
5,5,"Dec., '06",Love and Honor,4.11,SHOCHIKU
6,6,Nov.,Sky of Love - Someone I love is There,3.90,TOHO
7,7,March,Doraemon Nobita no Shinmakai daibouken Shichinin no Mahoutsukai,3.54,TOHO
8,8,Jan.,DORORO,3.45,TOHO
9,9,March,UNFAIR the movie,2.72,TOHO
10,10,April,DETECTIVE CONAN JOLLY ROGER IN THE DEEP AZURE,2.53,TOHO
11,11,Oct.,CROWS-Episode 0,2.50,TOHO
12,12,April,KITARO,2.34,SHOCHIKU
13,13,"Dec., '06",OH-OKU -The Women of the Inner Palace-,2.20,TOEI
14,14,June,Maiko Haaaan!!!,2.08,TOHO
15,15,Sep.,Evangelion:1.0 You Are (Not) Alone.,2.00,KLOCK WORX
16,16,April,"TOKYO TOWER -Mom& Me, and Sometimes Dad-",1.88,SHOCHIKU
17,17,"Dec., '06",Doubutsu no Mori,1.70,TOHO
18,17,August,Life Tears in Heaven,1.70,TOHO
19,19,April,Crayon Shin-chan Arashi wo Yobu Utau Ketsudake Bakudan,1.55,TOHO
20,20,March,The Battery -Future in Our Hands-,1.53,TOHO
21,21,Jan.,Love Never to End,1.39,TOHO
22,21,March,GENGHIS KHAN- to the Ends of the Earth and Sea,1.39,SHOCHIKU
23,23,August,MASKED RIDER DEN-O: ORE TANJOU!,1.38,TOEI
24,24,"Dec., '06",GEKI RANGERS NEI NEI! HOU HOU! HONG KONG DAIKESSEN,1.25,TOHO
25,25,May,Bizan -The Mountain of Mother's Love-,1.21,TOHO
26,25,August,,1.21,TOHO
27,27,June,DAINIPPONJIN,1.16,SHOCHIKU
28,28,Jan.,I JUST DIDN'T DO IT,1.11,TOHO
29,29,May,FOR THOSE WE LOVE,1.08,TOEI
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billion Yen),Distributor
1,1,July,Ponyo on the Cliff by the Sea,15.50,TOHO
2,2,June,Boys Over Flowers the movie,7.75,TOHO
3,3,Oct.,Suspect X,4.92,TOHO
4,4,July,Pokémon GIRATINA & THE SKY WARRIOR,4.80,TOHO
5,5,May,Partners: The Movie,4.44,TOEI
6,6,August,20th Century Boys -Chapter 1-,3.95,TOHO
7,7,June,The Magic Hour,3.92,TOHO
8,8,March,Doraemon Nobita to Midori no Kyojinden,3.37,TOHO
9,9,"Dec., '07",A tale of Mari and three puppies,3.18,TOHO
10,10,Feb.,L change the WorLd,3.10,WB
11,11,Sep.,Departures,3.05,SHOCHIKU
