,Release Date,Title,Production Budget,Opening Weekend,Domestic Box Office,Worldwide Box Office
0,"Aug 19, 2022",Doragon boru supa supa hiro…,,,,"$5,000,000"
1,"Mar 18, 2022",Gekijouban Jujutsu Kaisen 0,,"$18,003,204","$33,919,605","$189,180,372"
2,"Jan 14, 2022",Ryu to sobakasu no hime (竜と…,,"$1,565,658","$4,018,313","$61,012,245"
3,"Dec 30, 2021",Eiga Entotsu Machi no Poupelle,,,,"$20,643,297"
4,"Nov 24, 2021",Le sommet des dieux,,,,
5,"Oct 29, 2021",Boku no Hero Academia: Worl…,,"$6,219,176","$9,767,647","$40,853,434"
6,"Oct 22, 2021",The Laws Of The Universe — …,,"$8,183","$15,750","$6,527,891"
7,"Aug 23, 2021",The Witcher: Nightmare of t…,,,,
8,"Apr 23, 2021",Kimetsu no Yaiba: Mugen Res…,"$15,750,000","$22,789,600","$47,700,000","$504,334,511"
9,"Dec 31, 2020",Love Live Fest: Love Live! …,,,,"$23,594"
10,"Oct 19, 2020",Lupin III: The First (ルパン三世…,,"$83,295","$248,422","$7,545,778"
11,"Feb 17, 2020",Violet Evergarden Gaiden: E…,,,,"$11,638,284"
12,"Jan 11, 2020",BanG Dream! Film Live,,,,"$138,644"
13,"Dec 31, 2019",King of Prism All Stars: Pr…,,,,"$59,343"
14,"Dec 31, 2019",Haikyu!! OVA4 and Haikyu!! …,,,,"$311,483"
15,"Dec 31, 2019",Butt Detective The Movie,,,,"$901,315"
16,"May 16, 2019",Saga of Tayna the Evil: The…,,,,
17,"Apr 12, 2019",Penguin Highway,,,,"$3,902,796"
18,"Mar 29, 2019",Trinity Seven: Heavens Libr…,,,,
19,"Feb 7, 2019",Kimi no suizô wo tabetai,,,,"$3,959,923"
20,"Jan 31, 2019",Koe No Katachi,,,,"$31,629,474"
21,"Jan 16, 2019",Dragon Ball Super: Broly,"$8,500,000","$9,816,197","$30,376,755","$122,747,755"
22,"Jan 10, 2019",Ponokku tanpen gekijô: Chii…,,,"$178,027","$178,027"
23,"Dec 31, 2018",Psycho-Pass: Sinners of the…,,,,"$2,323"
24,"Dec 31, 2018",Psycho-Pass: Sinners of the…,,,,"$886,694"
25,"Dec 31, 2018",Eiga Shimajirō: Mahō no Shi…,,,,"$102,242"
26,"Dec 31, 2018",Psycho-Pass: Sinners of the…,,,,"$2,323"
27,"Dec 14, 2018",Spider-Man: Into The Spider…,"$90,000,000","$35,363,376","$190,173,195","$375,516,704"
28,"Dec 7, 2018",Gekijoban Haikara san-ga To…,,,,
29,"Nov 29, 2018",Mirai no Mirai,,"$63,325","$812,794","$29,863,754"
30,"Sep 25, 2018",Boku no Hero Academia the M…,,"$1,388,500","$5,427,591","$27,507,591"
31,"Aug 21, 2018",Yoru Wa Mijikashi Aruke Yo …,,"$18,302","$406,490","$3,886,903"
32,"Jul 20, 2018",Sayonara no asa ni yakusoku…,,,,"$4,325,393"
33,"Jul 4, 2018","Uchiage Hanabi, Shita Kara …",,"$138,014","$525,280","$26,630,702"
34,"Feb 9, 2018",Mahou shoujo ririkaru Nanoh…,,,,"$1,488,577"
35,"Jan 19, 2018",Meari to majo no hana,,"$1,515,939","$2,418,404","$42,048,202"
36,"Jan 19, 2018",Gintama,,,,"$45,730,590"
37,"Dec 31, 2017",Gochuumon wa Usagi desu ka?…,,,,"$2,514,938"
38,"Dec 31, 2017",Rilu Rilu Fairilu The Movie,,,,"$422,386"
39,"Dec 31, 2017",Gekijouban Mazinger Z,,,,"$4,502,612"
40,"Dec 31, 2017",Eiga Doraemon Nobita no Tak…,,,,"$79,904,554"
41,"Dec 31, 2017",Nôgêmu nôraifu: Zero,,,,"$6,356,195"
42,"Dec 31, 2017",Eiga Chuunibyou demo koi ga…,,,,"$1,951,744"
43,"Dec 31, 2017",Eiga Kamisama Minarai: Himi…,,,,"$970,492"
44,"Dec 31, 2017",Free！ -Take Your Marks-,,,,"$789,985"
45,"Dec 31, 2017",Kôkyô shihen Eureka sebun H…,,,,"$545,940"
46,"Dec 31, 2017",Haikyu!!The movie: The Tale…,,,,"$286,164"
47,"Dec 31, 2017",Fate Stay/night: Heaven’s F…,,,,"$17,236,320"
48,"Dec 31, 2017",Kureyon Shinchan: Shūrai! U…,,,,"$15,227,612"
49,"Dec 31, 2017",Gekijouban Poketto monsutâ:…,,,,"$34,695,344"
50,"Dec 31, 2017",Code Geass Lelouch Of The R…,,,,"$639,846"
51,"Sep 8, 2017",Hirune-hime: Shiranai watas…,,"$10,865","$48,198","$1,182,321"
52,"Aug 14, 2017",Gekijôban Fairy Tail: Drago…,,"$169,203","$519,461","$1,378,312"
53,"Aug 11, 2017",Kono sekai no katasumi ni,"$3,750,000",,,"$19,794,935"
