,Title,Worldwide gross,Year,Format,Ref.
0,Demon Slayer the Movie: Mugen Train,"$505,582,795",2020,Anime,[3]
1,Spirited Away,"$395,580,000",2001,Anime,[4]
2,Your Name,"$380,140,500",2016,Anime,[4]
3,Howl's Moving Castle,"$236,214,446",2004,Anime,[5]
4,Ponyo,"$204,826,668",2008,Anime,[6]
5,Weathering with You,"$193,715,360",2019,Anime,[7]
6,Stand by Me Doraemon,"$183,442,714",2014,Anime,[8]
7,Jujutsu Kaisen 0,"$183,310,489",2021,Anime,[9]
8,Pokémon: The First Movie,"$172,744,662",1998,Anime,[10]
9,Princess Mononoke,"$169,785,704",1997,Anime,[11]
10,Bayside Shakedown 2,"$164,450,000",2003,Live-action,[12]
11,The Secret World of Arrietty,"$149,411,550",2010,Anime,[13]
12,The Wind Rises,"$136,533,257",2013,Anime,[14]
13,Pokémon: The Movie 2000,"$133,949,270",1999,Anime,[15]
14,Dragon Ball Super: Broly,"$115,757,940",2018,Anime,[16]
15,Detective Conan: The Fist of Blue Sapphire,"$115,570,314",2019,Anime,[17]
16,Bayside Shakedown: The Movie,"$115,000,000",1998,Live-action,[18]
17,Detective Conan: Zero the Enforcer,"$108,207,000",2018,Anime,[19]
18,The Adventures of Milo and Otis,"$104,121,749",1986,Live-action,[b]
19,Detective Conan: The Scarlet Bullet,"$102,541,282",2021,Anime,[22]
20,Antarctica,"$101,000,000",1983,Live-action,[23]
21,Yo-kai Watch: The Movie,"$99,481,307",2014,Anime,[24]
22,Umizaru 3: The Last Message,"$98,663,381",2010,Live-action,[25]
23,One Piece: Stampede,"$93,000,000",2019,Anime,[26]
24,Evangelion: 3.0+1.0 Thrice Upon a Time,"$92,246,218",2021,Anime,[27]
25,Brave Hearts: Umizaru,"$91,884,352",2012,Live-action,[28]
26,Rookies: Graduation,"$88,055,243",2009,Live-action,[29]
27,Nodame Cantabile: The Movie II,"$86,192,740",2010,Live-action,[30]
28,Bayside Shakedown 3,"$85,347,374",2010,Live-action,[31]
29,The Eternal Zero,"$84,500,000",2013,Live-action,[32]
30,Doraemon the Movie: Nobita's Treasure Island,"$80,920,916",2018,Anime,[33]
31,Hero,"$80,400,000",2007,Live-action,[34]
32,Code Blue: The Movie,"$78,778,562",2018,Live-action,[35]
33,Shin Godzilla,"$78,053,145",2016,Live-action,[36]
34,Tales from Earthsea,"$75,500,000",2006,Anime,[37]
35,Thermae Romae,"$75,387,554",2012,Live-action,[38]
36,"Crying Out Love, in the Center of the World","$74,849,073",2004,Live-action,[39]
37,One Piece Film: Z,"$74,223,861",2012,Anime,[40]
38,The Silk Road,"$74,123,959",1988,Live-action,[c]
39,Bayside Shakedown: The Final,"$72,867,395",2012,Live-action,[43]
40,Hana Yori Dango Final,"$72,243,609",2008,Live-action,[44]
41,Pokémon Zoroark: Master of Illusions,"$71,143,529",2010,Anime,[45]
42,Pokémon 3: The Movie,"$68,411,275",2000,Anime,[46]
43,Shoplifters,"$67,999,335",2018,Live-action,[47]
44,Detective Conan: The Darkest Nightmare,"$66,265,957",2016,Anime,[48]
45,One Piece Film: Gold,"$66,207,073",2016,Anime,[49]
46,Detective Conan: The Bride of Halloween,"$65,968,588",2022,Anime,[50]
47,Doraemon: Nobita's Chronicle of the Moon Exploration,"$65,406,606",2019,Anime,[51]
48,Stand by Me Doraemon 2,"$65,201,374",2020,Anime,[52]
49,The Cat Returns,"$65,000,000",2002,Anime,[53]
