,Movie Title,Type,Gross,Release Date
0,akira  imax 2020 ,General,797920.5,2020-04-03 00:00:00
1,blackfox,General,58334.8125,2019-10-05 00:00:00
2,boku no hero academia the movie  futari no hero,General,355405.5,2019-01-12 00:00:00
3,cardcaptor sakura movie  2017 re-release ,General,285000.0,2017-01-21 00:00:00
4,city hunter  shinjuku private eyes,General,11475000.0,2019-02-09 00:00:00
5,dragon ball 01  dragon ball  shenlong no densetsu,General,6000000.0,1986-12-20 00:00:00
6,dragon ball z movie 04  super saiyajin da son gokuu,General,9750000.0,1991-03-09 00:00:00
7,dragon ball 17  dragon ball  saikyou e no michi,General,4500000.0,1996-03-02 00:00:00
8,evangelion - evangelion shin gekijouban  ha  2.0 you can  not  advance 4dx re-release ,Late Night,445255.875,2020-12-11 00:00:00
9,evangelion - evangelion shin gekijouban  jo  1.0 you are  not  alone 4dx re-release ,Late Night,400307.25,2020-12-04 00:00:00
10,evangelion - evangelion shin gekijouban  q  3.0 you can  not  redo 4dx re-release ,Late Night,336125.25,2020-12-18 00:00:00
11,evangelion - shin evangelion gekijouban     3.0 1.0 thrice upon a time ,Late Night,76800000.0,2021-03-08 00:00:00
12,evangelion - shinseiki evangerion gekijouban  ea/magokoro wo  kimi ni  the end of evangelion ,Late Night,18525000.0,1997-07-19 00:00:00
13,evangelion - shinseiki evangerion gekijouban  shi to shinsei  death   rebirth ,Late Night,14025000.0,1997-03-15 00:00:00
14,fate/stay night  heaven s feel part iii - spring song,Late Night,15000000.0,2020-08-15 00:00:00
15,free  the final stroke part 1,Late Night,4387500.0,2021-09-17 00:00:00
16,free  the final stroke part 2,Late Night,4665000.0,2022-04-22 00:00:00
17,free  timeless medley kizuna,Late Night,2025000.0,2017-04-22 00:00:00
18,free  timeless medley yakusoku,Late Night,2160000.0,2017-07-01 00:00:00
19,ginga eiyuu densetsu  die neue these seiran part 1,Late Night,633337.5,2019-09-27 00:00:00
20,ginga eiyuu densetsu  die neue these seiran part 2,Late Night,575344.5,2019-10-25 00:00:00
21,ginga eiyuu densetsu  die neue these seiran part 3,Late Night,,2019-11-29 00:00:00
22,girls und panzer finale part 1,Late Night,5250000.0,2017-12-09 00:00:00
23,girls und panzer finale part 1   2 4dx re-release,Late Night,1223039.25,2017-12-09 00:00:00
24,gyokou no nikuko-san,General,1180712.0999999999,2021-06-11 00:00:00
25,hagane no renkinjutsushi  milos no seinaru hoshi,Late Night,4425000.0,2011-07-02 00:00:00
26,heisei tanuki gassen pompoko,General,33450000.0,1994-07-16 00:00:00
27,hibike  euphonium  chikai no finale,Late Night,2232496.5,2019-04-19 00:00:00
28,hibike  euphonium  todoketai melody,Late Night,1005000.0,2017-09-30 00:00:00
29,kantai collection -kancolle- movie,Late Night,4200000.0,2016-11-26 00:00:00
30,kidou senshi gundam nt,Late Night,3373967.25,2018-11-30 00:00:00
31,kidou senshi gundam the origin ii,Theatrical OVA,971291.0625,2015-11-07 00:00:00
32,kidou senshi gundam the origin iii,Theatrical OVA,1065000.0,2016-05-21 00:00:00
