,Series Title,Type,Year,"Revenue
(Initial Release)",Source Material,Animation Studio,Publisher,Distributor
0,100-man no inochi no ue ni ore wa tatteiru  seasons 1 and 2 ,TV,2020,0.0,manga,Maho Film,Warner Brothers,NBC Universal (Geneon)
1,86  eighty-six,TV,2021,435225.0,novel,A1 Pictures,Aniplex,Sony
2,86  eighty-six part 2,TV,2021,538500.0,novel,A1 Pictures,Aniplex,Sony
3,91days,TV,2016,182625.0,original,Shuka,Shouchiku,Shouchiku
4,aa megami-sama,TV,2005,3622275.0,manga,AIC,Kodansha,Bandai Visual
5,acchi kocchi,TV,2012,642450.0,manga,AIC,TBS,Pony Canyon
6,ai mai mii,TV,2013,28200.0,manga,Dream Creation,Production Committee,Takeshobou
7,ai mai mii  mousou catastrophe,TV,2014,62100.0,manga,Seven,Dream Creation,Dream Creation
8,akagi,TV,2005,0.0,manga,Madhouse,VAP,VAP
9,akane-iro ni somaru saka ova,OVA,2009,251925.0,visual novel,TNK,Marvelous AQL,Avex
10,animegataries,TV,2017,33450.0,original,WAO World,DMM,DMM
11,anitore  xx,TV,2016,56325.0,original,Rising Force,Earth Star Entertainment,Earth Star Entertainment
12,ano natsu de matteru ova,OVA,2012,120975.0,original,JC Staff,NBC Universal (Geneon),NBC Universal (Geneon)
13,antique bakery,TV,2008,95400.0,manga,Nippon Animation,Asmik Ace,Kadokawa
14,arcana famiglia special disc,OVA,2010,81375.0,novel,AIC,Frontier Works,Warner Brothers
15,arslan senki  fuujin ranbu,TV,2016,555000.0,manga,Liden Films,NBC Universal (Geneon),NBC Universal (Geneon)
16,asobi ni iku yo  ova,OVA,2010,206625.0,novel,AIC,Pony Canyon,Pony Canyon
17,ayakashi,TV,2008,27450.0,visual novel,Tokyo Kids,Media Factory,Media Factory
18,azumanga daiou,TV,2002,7765950.0,manga,JC Staff,King Records,King Records
19,azur lane  mikasa dai-senpai to manabu sekai no kansen  recap ,OVA,2021,41400.0,game,Bibury Animation Studios,Production Committee,Story
20,b-project  zecchou emotion,TV,2019,1202250.0,original,Bandai Namco Pictures,Aniplex,Sony
21,baby steps 2nd series,TV,2015,21600.0,manga,Studio Pierrot,NHK Enterprise,Pony Canyon
22,back street girls  gokudolls,TV,2018,31050.0,manga,JC Staff,VAP,VAP
23,owarimonogatari season 2,TV,2017,3029400.0,novel,Shaft,Aniplex,Sony
24,bakuman. 2nd series,TV,2011,0.0,manga,JC Staff,NBC Universal (Geneon),NBC Universal (Geneon)
25,bakuman. 3rd series,TV,2012,12975.0,manga,JC Staff,NBC Universal (Geneon),NBC Universal (Geneon)
26,beck  mongolian chop squad,TV,2004,542775.0,manga,Madhouse,King Records,King Records
27,the big o 2nd season,TV,2003,936000.0,original,Sunrise,Bandai Visual,Bandai Visual
28,black cat,TV,2005,1236525.0,manga,Gonzo,Sony,Sony
29,blade and soul,TV,2014,66900.0,game,Gonzo,TBS,TC Entertainment
30,bna  brand new animal,TV,2020,127650.0,original,Trigger,Touhou,Touhou
31,boku no hero academia 2nd,TV,2017,1074150.0,manga,Bones,Touhou,Touhou
32,boku no imouto wa oosaka okan,TV,2013,25050.0,original,Charaction,Production Committee,Touhou
33,boku wa tomodachi ga sukunai add on disc,OVA,2011,646275.0,novel,AIC Build,Media Factory,Media Factory
34,bouken ou beet,TV,2004,0.0,manga,Toei Animation,Bandai Visual,Bandai Visual
35,bouken ou beet excellion,TV,2005,0.0,manga,Toei Animation,Bandai Visual,Bandai Visual
36,buzzer beater 2nd quarter,TV,2007,0.0,manga,TMS Entertainment,VAP,VAP
37,c3 - c cubed-,TV,2011,687825.0,novel,Silver Link,King Records,King Records
38,caligula,TV,2018,68925.0,game,Satelight,Pony Canyon,Pony Canyon
39,carole   tuesday,TV,2019,195750.0,original,Bones,Flying Dog,Victor Entertainment
40,chaos head,TV,2008,230025.0,visual novel,Madhouse,VAP,VAP
41,chaos child,TV,2017,86325.0,visual novel,Silver Link,Kadokawa,Kadokawa
42,choujigen game neptune,TV,2013,1870725.0,game,David Production,Frontier Works,Media Factory
43,choujigen game neptune ova  nep no natsuyasumi,OVA,2020,209775.0,game,Okuruto Noboru,Frontier Works,Media Factory
44,chrono crusade,TV,2003,2919450.0,manga,Gonzo,Happinet,Happinet
45,chuu-bra ,TV,2010,92775.0,manga,Zexcs,King Records,King Records
46,code geass boukoku no akito,OVA,2013,7233075.0,original,Sunrise,Bandai Visual,Bandai Visual
47,crossange,TV,2014,2880525.0,original,Sunrise,King Records,King Records
48,d.c.ii s.s.  da capo ii second season,TV,2008,1125150.0,visual novel,Feel,King Records,King Records
49,damepri anime caravan,TV,2018,332325.0,visual novel,Studio Flad,Movic,Movic
50,dangan ronpa,TV,2013,1359075.0,game,Lerche,NBC Universal (Geneon),NBC Universal (Geneon)
51,dangan ronpa 3  the end of kibougamine gakuen,TV,2016,1431750.0,game,Lerche,NBC Universal (Geneon),NBC Universal (Geneon)
52,date a live iii,TV,2019,795600.0,manga,JC Staff,Kadokawa,Kadokawa
53,dog days ,TV,2012,2525025.0,original,Seven Arcs,Aniplex,Sony
54,dog days ,TV,2015,1627650.0,original,Seven Arcs,Aniplex,Sony
55,dorufuro  iyashi-hen,TV,2019,16725.0,game,Phoenix Animation,Victor Entertainment,Victor Entertainment
56,dorufuro  kyouran-hen,TV,2020,16575.0,game,Phoenix Animation,Victor Entertainment,Victor Entertainment
57,dr. stone 2nd season,TV,2021,55800.0,manga,TMS Entertainment,Touhou,Touhou
58,dungeon ni deai wo motomeru no wa machigatteiru darou ka ii,TV,2019,629550.0,novel,JC Staff,Warner Brothers,Warner Brothers
59,eikoku koi monogatari emma s2,TV,2007,226575.0,manga,Asia-Do,Showgate,Pony Canyon
60,eldlive,TV,2017,8325.0,manga,Studio Pierrot,Tokuma,Crown Tokuma
61,elemental gelade,TV,2005,435825.0,manga,Xebec,NBC Universal (Geneon),NBC Universal (Geneon)
62,ensemble stars ,TV,2019,3972750.0,game,David Production,Bandai Visual,Bandai Visual
63,koukyoushihen eureka seven,TV,2005,5695275.0,original,Bones,Bandai Visual,Bandai Visual
64,fate/zero second season,TV,2012,11817750.0,novel,ufotable,Aniplex,Sony
65,fate/stay night unlimited blade works part ii,TV,2015,9451050.0,visual novel,ufotable,Aniplex,Sony
66,fate/kaleid liner prisma illya  prisma phantasm,OVA,2019,217050.0,manga,Silver Link,Kadokawa,Kadokawa
67,lord el-melloi ii sei no jikenbo  rail zeppelin grace note special,OVA,2022,141750.0,novel,Troyca,Aniplex,Sony
68,fuyu no sonata,TV,2009,650175.0,live action,JM Animation,Avex,Avex
69,gaiking  legend of daikuu-maryuu,TV,2005,0.0,original,Toei Animation,Toei,Toei
70,gakuen mokushiroku highschool of the dead,TV,2010,1890900.0,manga,Madhouse,NBC Universal (Geneon),NBC Universal (Geneon)
71,galaxy angel a,TV,2002,1499325.0,original,Madhouse,Bandai Visual,Bandai Visual
72,galaxy angel aa,TV,2003,1557150.0,original,Madhouse,Bandai Visual,Bandai Visual
73,galaxy angel x,TV,2004,1869750.0,original,Madhouse,Bandai Visual,Bandai Visual
74,gegege no kitarou  5th series ,TV,2007,507450.0,manga,Toei Animation,Happinet,Happinet
75,gegege no kitarou  6th series ,TV,2018,645000.0,manga,Toei Animation,Happinet,Happinet
76,kujibiki unbalance,TV,2006,869400.0,manga,Asia-Do,Showgate,Media Factory
77,gin-iro no olynssis,TV,2006,219825.0,novel,Toei Animation,Toei,Happinet
78,gintama season 1,TV,2006,6262275.0,manga,Sunrise,Aniplex,Sony
79,gintama season 2,TV,2007,6562050.0,manga,Sunrise,Aniplex,Sony
80,gintama season 3,TV,2008,6650850.0,manga,Sunrise,Aniplex,Sony
81,gintama season 4,TV,2009,5536425.0,manga,Sunrise,Aniplex,Sony
82,gintama ,TV,2015,3080550.0,manga,Sunrise,Aniplex,Sony
83,gintama. shirogane no tamashii-hen,TV,2018,706125.0,manga,Sunrise,Aniplex,Sony
84,girlish number,TV,2016,190200.0,novel,Diomedia,NBC Universal (Geneon),NBC Universal (Geneon)
85,girls und panzer  heartful tank disc,OVA,2013,744675.0,original,Actas,Bandai Visual,Bandai Visual
86,girls und panzer  kore ga hontou no anzio-sen desu ,OVA,2014,3579975.0,original,Actas,Bandai Visual,Bandai Visual
87,girls und panzer  heartful tank disc 2,OVA,2017,517875.0,original,Actas,Bandai Visual,Bandai Visual
88,glass no kantai,TV,2006,0.0,original,Gonzo,Gonzo,Sony
89,go  go  575  project 575 ,TV,2014,21900.0,game,"Lay-duce, C2C",Aniplex,Sony
90,gochuumon wa usagi desu ka ,TV,2014,3020850.0,manga,White Fox,NBC Universal (Geneon),NBC Universal (Geneon)
